pas	CNTRL_29765	KD_29766	CNTRL_32682	KD_32683	PAS_overlap
chr14:+:102905767:TE	4.11	6.47	5.33	6.68	OK
chr14:+:102906208:TE	0.59	0.67	2.13	2.39	OVERLAP
chr14:+:102906291:TE	5.36	13.06	4.40	10.80	OVERLAP
chr14:+:102906486:TE	0.88	0.67	1.87	3.37	OVERLAP
chr14:+:102911499:TE	16.75	15.06	30.79	28.80	OK
chr9:-:14087641:TE	7.93	11.60	4.80	3.15	OK
chr9:-:14086566:TE	2.35	2.45	1.47	2.39	OK
chr9:-:14081849:TE	20.67	19.42	22.93	20.11	OK
chr5:-:10280343:TE	2.64	0.67	0.67	0.11	OK
chr5:-:10279285:TE	97.56	137.10	53.42	47.09	OK
chr2:+:32155113:TE	3.53	4.69	3.49	3.37	OK
chr2:+:32155773:TE	2.35	3.12	2.40	4.02	OK
chr2:+:32157649:TE	14.10	21.54	18.67	16.09	OK
chr14:-:74905644:TE	12.49	12.72	16.93	15.98	OK
chr14:-:74905050:TE	1.18	0.27	0.93	2.12	OK
chr16:+:48352015:TE	7.64	10.49	11.73	8.15	OK
chr16:+:48353135:TE	0.88	1.79	2.13	1.85	OVERLAP
chr16:+:48353190:TE	2.06	0.45	3.20	1.09	OVERLAP
chr16:+:48353976:TE	1.18	2.45	1.60	1.52	OK
chr16:+:48355503:TE	2.64	5.80	3.76	9.13	OK
chr16:+:48356507:TE	0.59	1.34	0.40	0.33	OK
chr1:+:173785846:TE	0.88	0.00	1.20	0.00	OK
chr1:+:173786700:TE	18.51	29.68	11.07	13.69	OK
chr2:+:189877454:TE	2.35	0.89	2.93	2.50	OVERLAP
chr2:+:189877511:TE	2.94	1.34	3.51	2.61	OVERLAP
chr2:+:189877642:TE	14.40	13.87	20.03	12.88	OVERLAP
chr8:-:109574165:TE	25.56	22.09	13.60	15.32	OVERLAP
chr8:-:109573981:TE	2.06	2.45	0.67	1.09	OVERLAP
chr8:+:31173402:TE	3.23	1.12	3.07	1.20	OVERLAP
chr8:+:31173768:TE	16.46	19.86	11.33	9.35	OVERLAP
chr20:+:49243951:TE	2.94	1.34	2.00	1.90	OVERLAP
chr20:+:49244070:TE	22.48	37.88	37.40	33.69	OVERLAP
chr6:+:111267317:TE	2.94	0.45	0.13	0.54	OK
chr6:+:111269079:TE	0.29	0.22	1.60	0.43	OK
chr11:+:62738602:TE	1.76	0.67	1.60	1.52	OVERLAP
chr11:+:62738635:TE	19.98	30.57	28.81	27.93	OVERLAP
chr17:-:38850191:TE	2.31	2.02	8.11	8.34	OVERLAP
chr17:-:38850126:TE	16.64	9.34	7.80	8.75	OVERLAP
chr17:-:38850069:TE	2197.20	1112.57	1951.11	2269.29	OVERLAP
chr17:-:38849212:TE	6.17	5.47	8.07	11.14	OVERLAP
chr17:-:38849115:TE	0.29	1.34	0.93	2.17	OVERLAP
chr17:-:38848783:TE	0.59	1.56	3.20	3.91	OVERLAP
chr7:+:155308587:TE	10.92	9.37	14.40	8.26	OK
chr7:+:155309210:TE	3.82	6.03	7.33	3.71	OVERLAP
chr7:+:155309543:TE	0.29	5.39	0.93	0.54	OVERLAP
chr7:+:155309645:TE	0.88	4.46	2.53	3.04	OVERLAP
chr7:+:155309758:TE	0.29	4.46	1.07	2.72	OVERLAP
chr7:+:155310028:TE	61.02	49.99	8.13	4.89	OVERLAP
chr7:+:155310233:TE	748.09	1625.79	393.27	507.30	OVERLAP
chr1:+:32231486:TE	11.31	4.91	5.20	1.47	OVERLAP
chr1:+:32231603:TE	217.65	363.42	313.79	416.63	OVERLAP
chr13:-:32401737:TE	6.17	8.93	2.27	3.91	OVERLAP
chr13:-:32401583:TE	1.47	1.79	0.13	0.22	OVERLAP
chr15:+:78548833:TE	3.01	2.29	1.20	1.20	OVERLAP
chr15:+:78548876:TE	53.33	44.63	33.63	26.52	OVERLAP
chr15:+:78549082:TE	2.06	5.02	6.93	5.54	OVERLAP
chr15:+:78549155:TE	2.06	0.45	0.53	0.22	OVERLAP
chr15:+:78549205:TE	788.72	766.17	700.90	677.92	OVERLAP
chr15:+:78549248:TE	14.99	16.96	17.73	21.19	OVERLAP
chr15:+:78550307:TE	0.00	2.45	0.13	2.17	OK
chr5:+:98793847:TE	0.88	1.56	0.40	0.87	OVERLAP
chr5:+:98794055:TE	3.82	12.72	7.20	9.46	OVERLAP
chr5:+:98796492:TE	27.40	29.68	35.28	37.95	OK
chr21:-:28930138:TE	4.70	3.42	2.00	1.96	OVERLAP
chr21:-:28929801:TE	0.59	0.89	1.20	0.65	OVERLAP
chr21:-:28928145:TE	19.10	29.90	22.40	23.42	OK
chr20:-:6075288:TE	0.59	0.22	1.33	0.65	OK
chr20:-:6074846:TE	6.46	2.45	4.83	3.04	OK
chr6:+:159748543:TE	3.82	2.01	2.13	1.41	OK
chr6:+:159749416:TE	10.43	33.09	35.55	48.32	OK
chr1:-:42179334:TE	0.59	1.56	1.87	2.74	OK
chr1:-:42176549:TE	14.59	23.21	26.64	29.73	OK
chr6:+:30724576:TE	32.92	38.48	80.22	37.61	OK
chr6:+:30725426:TE	35.67	35.35	27.78	27.80	OK
chr19:-:48616178:TE	0.00	0.00	3.07	2.39	OVERLAP
chr19:-:48616109:TE	0.00	0.33	1.00	0.98	OVERLAP
chr10:+:96161720:TE	1.76	0.67	1.60	0.98	OK
chr10:+:96162294:TE	2.64	4.46	6.13	3.70	OK
chr10:+:96162755:TE	11.46	22.99	15.45	20.68	OVERLAP
chr10:+:96162806:TE	0.59	1.79	1.47	1.30	OVERLAP
chr10:+:96163651:TE	0.00	1.34	0.27	0.76	OK
chr12:+:6531484:TE	0.88	0.67	1.20	0.98	OK
chr12:+:6531954:TE	78.96	179.36	54.09	72.52	OK
chr4:-:168989997:TE	3.23	7.36	6.13	8.42	OK
chr4:-:168987593:TE	12.34	27.76	7.67	22.57	OK
chr1:-:205147259:TE	0.88	0.22	0.67	1.20	OVERLAP
chr1:-:205146897:TE	5.88	5.19	4.97	3.31	OVERLAP
chr1:-:205146072:TE	1.47	1.34	1.60	0.43	OK
chr1:-:205142747:TE	0.29	2.01	2.40	1.30	OVERLAP
chr1:-:205142505:TE	8.52	6.92	9.73	7.83	OVERLAP
chr15:+:56428682:TE	1.47	3.79	3.87	2.50	OVERLAP
chr15:+:56428949:TE	1.76	0.89	1.33	0.98	OVERLAP
chr15:+:56430138:TE	12.19	7.70	6.28	3.21	OK
chr2:-:96848041:TE	22.63	6.92	19.13	7.88	OVERLAP
chr2:-:96847991:TE	9.96	4.69	9.33	3.59	OVERLAP
chr21:+:29345839:TE	0.29	1.12	1.47	1.09	OVERLAP
chr21:+:29345986:TE	15.90	22.99	13.76	15.87	OVERLAP
chr21:+:29346164:TE	13.52	11.83	11.65	13.37	OVERLAP
chr6:+:42080921:TE	13.62	14.36	14.53	16.95	OK
chr6:+:42083272:TE	2.64	9.37	2.00	4.02	OK
chr1:-:225920284:TE	0.88	1.12	2.27	1.09	OK
chr1:-:225919881:TE	161.55	208.91	144.13	133.48	OK
chr1:-:156466218:TE	7.93	12.05	7.47	13.69	OK
chr1:-:156463717:TE	1.76	7.59	4.27	10.87	OK
chr19:+:52292715:TE	7.05	21.20	11.60	14.24	OK
chr19:+:52296045:TE	1.76	6.25	0.93	4.78	OK
chr22:+:35424501:TE	27.18	24.29	51.29	37.82	OK
chr22:+:35425430:TE	2.94	2.45	4.27	3.48	OK
chr5:-:31401301:TE	24.83	27.48	31.80	41.46	OVERLAP
chr5:-:31401062:TE	0.59	2.45	0.40	1.52	OVERLAP
chr17:-:48575735:TE	0.00	0.45	1.47	0.54	OVERLAP
chr17:-:48575514:TE	13.96	24.71	26.47	16.57	OVERLAP
chr11:+:33354641:TE	1.18	0.22	0.40	0.98	OK
chr11:+:33357027:TE	10.09	17.48	18.02	15.00	OK
chr7:-:103312522:TE	19.48	17.13	24.65	22.85	OVERLAP
chr7:-:103312473:TE	5.29	9.15	5.87	7.17	OVERLAP
chr1:+:2308654:TE	1.18	7.59	1.73	4.35	OK
chr1:+:2309531:TE	0.59	1.12	0.13	0.43	OK
chr5:-:112878647:TE	25.21	68.81	31.25	40.79	OVERLAP
chr5:-:112878465:TE	53.32	71.85	63.40	91.37	OVERLAP
chr5:-:112878121:TE	2.94	1.90	0.40	0.76	OVERLAP
chr5:-:112877163:TE	0.00	1.41	0.80	0.76	OK
chr5:-:112876428:TE	3.38	2.01	0.67	0.76	OVERLAP
chr5:-:112876387:TE	63.51	71.33	55.22	81.94	OVERLAP
chr4:+:38137619:TE	15.38	16.35	19.78	17.93	OK
chr4:+:38138068:TE	0.59	1.34	0.67	1.30	OK
chr4:+:38139178:TE	5.00	2.01	2.67	3.40	OK
chr7:+:114692701:TE	1.47	1.56	4.93	2.28	OVERLAP
chr7:+:114693019:TE	2.94	3.79	11.73	5.87	OVERLAP
chr7:+:114693760:TE	0.88	2.68	1.73	1.63	OK
chr15:+:96337768:TE	2.35	6.03	2.53	1.09	OVERLAP
chr15:+:96337837:TE	77.80	34.51	37.47	14.54	OVERLAP
chr15:+:96337911:TE	2.35	2.23	0.80	0.65	OVERLAP
chr15:+:96338168:TE	1.18	1.79	3.07	1.52	OVERLAP
chr15:+:96338468:TE	3.23	2.68	4.67	2.61	OVERLAP
chr15:+:96338731:TE	0.29	0.67	1.73	0.76	OVERLAP
chr15:+:96338768:TE	10.43	11.16	12.93	4.89	OVERLAP
chr15:+:96338812:TE	74.39	58.02	86.67	61.95	OVERLAP
chr15:+:96340261:TE	1.47	2.68	3.47	1.85	OK
chr15:-:77996807:TE	2.06	6.81	2.53	2.72	OK
chr15:-:77994986:TE	3.53	6.14	10.60	14.48	OK
chr14:+:103341190:TE	12.49	10.04	21.33	12.17	OVERLAP
chr14:+:103341355:TE	58.16	71.68	132.87	87.85	OVERLAP
chr14:+:103341822:TE	0.85	0.56	4.53	2.34	OVERLAP
chr14:+:103341912:TE	10.58	17.97	25.88	25.74	OVERLAP
chr14:+:103341983:TE	0.88	2.53	2.27	2.39	OVERLAP
chr14:+:103342117:TE	1.18	12.27	8.13	15.81	OVERLAP
chr14:+:103342190:TE	3.53	11.94	5.33	10.11	OVERLAP
chr14:+:103342646:TE	2.06	1.56	1.20	2.58	OK
chr14:+:103343222:TE	45.69	66.54	49.02	64.67	OK
chr14:+:103345018:TE	3.23	8.70	7.40	10.81	OK
chr2:+:37202183:TE	18.81	11.60	8.00	3.15	OK
chr2:+:37202777:TE	4.41	2.01	0.80	1.30	OK
chr2:+:37203515:TE	0.59	0.45	1.33	0.54	OK
